,Neighborhood,Town,Latitude,Longitude
0,Cempaka Putih,Central Jakarta,-6.181214499999999,106.86854766095992
1,Gambir,Central Jakarta,-6.1766841,106.8306534
2,Johar Baru,Central Jakarta,-6.18312505,106.85533232560866
3,Kemayoran,Central Jakarta,-6.1625464999999995,106.85689034074326
4,Menteng,Central Jakarta,-6.1950265,106.83222419920054
5,Sawah Besar,Central Jakarta,-6.155891349999999,106.83357979795008
6,Senen,Central Jakarta,-6.184971,106.84323537475049
7,Tanah Abang,Central Jakarta,-6.2052581,106.80949961953083
9,Cilincing,North Jakarta,-6.12901455,106.944453775
10,Kelapa Gading,North Jakarta,-6.15993785,106.9024825763434
11,Koja,North Jakarta,-6.12074995,106.90736211830226
12,Pademangan,North Jakarta,-6.12905175,106.82897199455174
13,Penjaringan,North Jakarta,-6.11726515,106.76743343432852
14,Tanjung Priok,North Jakarta,-6.12885785,106.87079323031739
16,Cakung,East Jakarta,-6.185562,106.94010945394294
17,Cipayung,East Jakarta,-6.3293992,106.90373891240544
18,Ciracas,East Jakarta,-6.3296346,106.87660392506864
19,Duren Sawit,East Jakarta,-6.2341378,106.91924723513691
20,Jatinegara,East Jakarta,-6.2149761,106.8703405
21,Kramat Jati,East Jakarta,-6.2754768,106.87037568609199
22,Makasar,East Jakarta,-6.269341300000001,106.8888174965918
23,Matraman,East Jakarta,-6.203624,106.86457858984426
24,Pasar Rebo,East Jakarta,-6.324972750000001,106.85337593386294
25,Pulo Gadung,East Jakarta,-6.1911085,106.89060525673162
27,Cilandak,South Jakarta,-6.2868976,106.7944211
28,Jagakarsa,South Jakarta,-6.3300082,106.828191
29,Kebayoran Baru,South Jakarta,-6.2441457,106.800434
30,Kebayoran Lama,South Jakarta,-6.243886,106.7798594
31,Mampang Prapatan,South Jakarta,-6.2493736,106.8218597
32,Pancoran,South Jakarta,-6.2532977,106.8449775
33,Pasar Minggu,South Jakarta,-6.2856421,106.8297347
34,Pesanggrahan,South Jakarta,-6.2488302,106.759631
35,Setiabudi,South Jakarta,-6.218449,106.8300253
36,Tebet,South Jakarta,-6.2260164,106.858396
38,Cengkareng,West Jakarta Barat,-6.1490933,106.734781
39,Grogol Petamburan,West Jakarta Barat,-6.1641878,106.78831657883393
40,Taman Sari,West Jakarta Barat,-6.14614235,106.8184990440433
41,Tambora,West Jakarta Barat,-6.1466142,106.80104559691304
42,Kebon Jeruk,West Jakarta Barat,-6.19257205,106.76972548969255
43,Kalideres,West Jakarta Barat,-6.13700575,106.70159379305983
44,Palmerah,West Jakarta Barat,-6.1910017,106.7943633086912
45,Kembangan,West Jakarta Barat,-6.194603,106.7437585
47,Kepulauan Seribu Utara,Kepulauan Seribu,-5.65444335,106.56808375782228
48,Kepulauan Seribu Selatan,Kepulauan Seribu,-5.80388725,106.52530628717426
